base_id,condition,label,hop_depth,error_type,peak_entropy,mean_entropy,early_entropy,min_confidence,mean_vocab_gap,logprob_uncertainty,hedged,hedge_count,overconfident,overconf_count,verbalized_conf,is_absurd,final_correct_clean,final_correct_error,final_degraded,prompt_len,n_tokens_gen,generated_text
planning_budget_0002,clean,0,4,,,,,0.57763671875,0.9502205577763644,0.03232819165802205,False,0,False,0,,False,False,False,False,125,22,"The HR department requested 250, but the maximum limit per department is 200.  

"
planning_budget_0002,error_standard,1,4,constraint_violation,,,,0.57763671875,0.9502205577763644,0.03232819165802205,False,0,False,0,,False,False,False,False,125,22,"The HR department requested 250, but the maximum limit per department is 200.  

"
planning_budget_0002,error_verbalized,1,4,constraint_violation,,,,0.9150390625,0.991443410001952,0.004979699811678121,False,0,False,0,,False,False,False,False,190,29,"HR requested 250, but the maximum per department is 200. Therefore, only 200 can be allocated.

"
2hop_fractions_0039,clean,0,2,,,,,0.465576171875,0.8133585731188456,0.15240588466847338,False,0,False,0,,False,False,False,False,106,15,"Step 2: The total number of slices is 16.  
"
2hop_fractions_0039,error_standard,1,2,wrong_percentage_base,,,,0.478759765625,0.7739504973093668,0.16126627590896747,False,0,False,0,,False,False,False,False,108,9,"We started with 16 equal slices.

"
2hop_fractions_0039,error_verbalized,1,2,wrong_percentage_base,,,,0.470947265625,0.7969863670212882,0.1674275662232356,False,0,False,0,,False,False,False,False,173,7,"Total slices = 16  
"
2hop_fractions_0032,clean,0,2,,,,,0.389892578125,0.8174498043954372,0.1593626218190385,False,0,False,0,,False,True,True,False,103,16,"Step 2: The pizza was cut into 10 equal slices.  
"
2hop_fractions_0032,error_standard,1,2,wrong_unit,,,,0.384033203125,0.6679755611853166,0.2503444375277383,False,0,False,0,,False,True,True,False,105,11,"We started with 10 equal slices of pizza.

"
2hop_fractions_0032,error_verbalized,1,2,wrong_unit,,,,0.47314453125,0.8273523092269898,0.12319254882020995,False,0,False,0,,False,True,True,False,170,10,"There are 10 slices in total.  
"
3hop_multi_stage_geometry_0006,clean,0,3,,,,,0.7548828125,0.9652592028890338,0.019339674355546177,False,0,False,0,,False,False,False,False,129,21,"Each tile is 1 m × 1 m, so each tile covers 1 m².  
"
3hop_multi_stage_geometry_0006,error_standard,1,3,wrong_operator,,,,0.8740234375,0.9756896694501241,0.012987117807355706,False,0,False,0,,False,False,False,False,127,21,"Each tile is 1 m × 1 m, so each tile covers 1 m².  
"
3hop_multi_stage_geometry_0006,error_verbalized,1,3,wrong_operator,,,,0.9853515625,0.9976986675035386,0.001169285597270161,False,0,False,0,,False,False,False,False,192,21,"Each tile is 1 m × 1 m, so each tile covers 1 m².  
"
4hop_multi_stage_allocation_0017,clean,0,4,,,,,0.83837890625,0.9526693065961201,0.025462051754650758,False,0,False,0,,False,False,True,False,142,15,"After spending 25% on salaries, $750 remains.

"
4hop_multi_stage_allocation_0017,error_standard,1,4,wrong_unit,,,,0.65380859375,0.9385131852967399,0.03746592731663819,False,0,False,0,,False,False,True,False,141,14,"After spending 25% on salaries, the remaining budget is:

"
4hop_multi_stage_allocation_0017,error_verbalized,1,4,wrong_unit,,,,0.53125,0.8724587048803057,0.07977941316407802,False,0,False,0,,False,False,True,False,206,14,"After spending 25% on salaries, the remaining budget is:

"
3hop_compound_rate_0007,clean,0,3,,,,,0.896484375,0.9702380100886027,0.01575767112947006,False,0,False,0,,False,False,False,False,151,9,"To find how long the second leg takes:

"
3hop_compound_rate_0007,error_standard,1,3,wrong_unit,,,,0.53125,0.8264558613300323,0.11281381445957264,False,0,False,0,,False,False,False,False,142,10,"To find how many minutes the second leg takes:

"
3hop_compound_rate_0007,error_verbalized,1,3,wrong_unit,,,,0.60302734375,0.8828949795828925,0.0719277209862209,False,0,False,0,,False,False,False,False,207,9,"To find how long the second leg takes:

"
2hop_fractions_0005,clean,0,2,,,,,0.5693359375,0.8940448620740105,0.07757055584849429,False,0,False,0,,False,False,False,False,106,17,"Step 2: The flatbread was cut into 16 equal slices.  
"
2hop_fractions_0005,error_standard,1,2,off_by_one,,,,0.69482421875,0.9499558596050038,0.036889942357114014,False,0,False,0,,False,False,False,False,106,17,"Step 2: What fraction of the flatbread's 16 slices remains?

"
2hop_fractions_0005,error_verbalized,1,2,off_by_one,,,,0.88134765625,0.9466688973563058,0.03249154128261686,False,0,False,0,,False,False,False,False,171,7,"Total slices: 16  
"
4hop_nested_fractions_0019,clean,0,4,,,,,0.53076171875,0.8518399000167847,0.09291879990694893,False,0,False,0,,False,True,True,False,147,30,"We take the number that passed quality control (1600) and multiply by 2/3 to find the number of premium quality widgets.

"
4hop_nested_fractions_0019,error_standard,1,4,wrong_percentage_base,,,,0.5078125,0.835456201008388,0.10485526386925602,False,0,False,0,,False,True,True,False,149,14,"We already found that 1600 widgets pass quality control.

"
4hop_nested_fractions_0019,error_verbalized,1,4,wrong_percentage_base,,,,0.64404296875,0.8822112046182156,0.0791691062085182,False,0,False,0,,False,True,True,False,214,16,"We already found that 16000 widgets pass quality control.  
"
2hop_rate_distance_0038,clean,0,2,,,,,0.615234375,0.9432928306715829,0.03557236743584845,False,0,False,0,,False,False,False,False,105,14,"Step 2: Convert the travel time from hours to minutes.  
"
2hop_rate_distance_0038,error_standard,1,2,magnitude_error,,,,0.67236328125,0.9464720785617828,0.03183489087791569,False,0,False,0,,False,False,False,False,107,14,"Step 2: Convert the travel time from hours to minutes.  

"
2hop_rate_distance_0038,error_verbalized,1,2,magnitude_error,,,,0.607421875,0.9125202532325473,0.053727723884337435,False,0,False,0,,False,False,False,False,172,28,"We know the trip takes 3 hours (since 120 km ÷ 40 km/h = 3 hours).  
"
3hop_percentage_chain_0047,clean,0,3,,,,,0.515625,0.8798049754566617,0.07516989893831688,False,0,False,0,,False,True,True,False,140,18,"Answer: 15% sales tax on $105 is calculated as:  
"
3hop_percentage_chain_0047,error_standard,1,3,wrong_unit,,,,0.44970703125,0.9132787883281708,0.0630426917030262,False,0,False,0,,False,True,True,False,128,36,"The discounted price is $150 − (30% of $150) = $150 − $45 = **$105**.

"
3hop_percentage_chain_0047,error_verbalized,1,3,wrong_unit,,,,0.7177734375,0.9698856876176947,0.018545099175643412,False,0,False,0,,True,True,True,False,193,34,"The discounted price is $150 - (30% of $150) = $150 - $45 = $105.

"
3hop_compound_rate_0018,clean,0,3,,,,,0.5537109375,0.9580542743206024,0.02959741097124891,False,0,False,0,,False,False,False,False,154,30,"Answer: 30 ÷ 30 = 1 hour = 60 minutes. The second leg takes 60 minutes.  

"
3hop_compound_rate_0018,error_standard,1,3,magnitude_error,,,,0.546875,0.8792130880885654,0.07754823100267065,False,0,False,0,,False,False,False,False,148,9,"To find how long the second leg takes:

"
3hop_compound_rate_0018,error_verbalized,1,3,magnitude_error,,,,0.267578125,0.8490382007190159,0.19828091879121243,False,0,False,0,,False,False,False,False,213,7,"Time = Distance ÷ Speed  
"
3hop_percentage_chain_0015,clean,0,3,,,,,0.673828125,0.9530085868695203,0.027419321519792247,False,0,False,0,,False,True,True,False,141,34,"Answer: 10% of $37.50 = $37.50 × 0.10 = $3.75.  

"
3hop_percentage_chain_0015,error_standard,1,3,off_by_one,,,,0.556640625,0.92889404296875,0.049520314029833624,False,0,False,0,,False,True,True,False,128,19,"Step 2: How much is the 10% sales tax on the discounted price?

"
3hop_percentage_chain_0015,error_verbalized,1,3,off_by_one,,,,0.55712890625,0.958223788274659,0.026186144261764813,False,0,False,0,,False,True,True,False,193,36,"The discounted price is $50 − (25% of $50) = $50 − $12.50 = $37.50.

"
3hop_percentage_chain_0004,clean,0,3,,,,,0.78271484375,0.9622495293617248,0.020985852152180604,False,0,False,0,,False,True,True,False,144,40,"Answer: 10% sales tax on $170 = $170 × 10% = $170 × 0.10 = $17.  

"
3hop_percentage_chain_0004,error_standard,1,3,wrong_percentage_base,,,,0.8701171875,0.9827696147717928,0.009742814668650764,False,0,False,0,,False,True,True,False,134,19,"Step 2: How much is the 10% sales tax on the discounted price?

"
3hop_percentage_chain_0004,error_verbalized,1,3,wrong_percentage_base,,,,0.46630859375,0.9465070378546622,0.038202801180906326,False,0,False,0,,True,True,True,False,199,51,"The discounted price is $170 (since 15% off $200: $200 × (1 - 0.15) = $200 × 0.85 = $170).

"
4hop_nested_fractions_0015,clean,0,4,,,,,0.499267578125,0.9010261930525303,0.06394570543491937,False,0,False,0,,False,True,True,False,147,32,"We take the number of widgets that pass quality control, which is 3750, and find 1/2 of them that are premium quality.

"
4hop_nested_fractions_0015,error_standard,1,4,off_by_one,,,,0.403564453125,0.836101981309744,0.11925738700597296,False,0,False,0,,False,True,True,False,147,39,"We take the number of widgets that pass quality control, which is 3750 (from Step 1), and find 1/2 of them to get the premium quality widgets.

"
4hop_nested_fractions_0015,error_verbalized,1,4,off_by_one,,,,0.41796875,0.9147747438400984,0.06365482998223142,False,0,False,0,,False,True,True,False,212,32,"We already found that 3750 widgets pass quality control (since 5000 × 3/4 = 3750).

"
2hop_fractions_0003,clean,0,2,,,,,0.61376953125,0.8725893460214138,0.08879485671203173,False,0,False,0,,False,False,False,False,103,16,"Step 2: The tart was cut into 20 equal slices.  
"
2hop_fractions_0003,error_standard,1,2,magnitude_error,,,,0.33740234375,0.872459203004837,0.1078166446565083,False,0,False,0,,False,False,False,False,105,16,"Step 2: The tart was cut into 20 equal slices.  
"
2hop_fractions_0003,error_verbalized,1,2,magnitude_error,,,,0.5478515625,0.8618053708757673,0.11605708514938724,False,0,False,0,,False,False,False,False,170,7,"Total slices: 20  
"
4hop_compound_interest_0018,clean,0,4,,,,,0.572265625,0.9208445725617586,0.052656008481104154,False,0,False,0,,False,False,False,False,115,27,"To find the balance after year 2, we apply the 5% annual interest compounded annually to the balance from year 1.

"
4hop_compound_interest_0018,error_standard,1,4,magnitude_error,,,,0.849609375,0.9789081970850627,0.012534903195611308,False,0,False,0,,False,False,False,False,114,15,"To find the balance after year 2, we compound the interest annually.

"
4hop_compound_interest_0018,error_verbalized,1,4,magnitude_error,,,,0.57666015625,0.9130231806865106,0.05218818585475374,False,0,False,0,,False,False,False,False,179,26,"We start with the balance after year 1: $2000 invested at 5% annual interest, compounded annually.

"
2hop_arithmetic_0015,clean,0,2,,,,,0.47607421875,0.8321231393253102,0.11651690253188005,False,0,False,0,,False,False,False,False,120,17,"Paul pays with a $45 bill and the total cost is $30.

"
2hop_arithmetic_0015,error_standard,1,2,off_by_one,,,,0.59619140625,0.8881088324955532,0.07232552760530875,False,0,False,0,,False,False,False,False,120,14,"Step 2: Paul pays with a $45 bill.  
"
2hop_arithmetic_0015,error_verbalized,1,2,off_by_one,,,,0.6162109375,0.9391982680872867,0.04218736217284891,False,0,False,0,,False,False,False,False,185,19,"He pays with a $45 bill, and the total cost is $31.  
"
3hop_compound_rate_0040,clean,0,3,,,,,0.740234375,0.9647519364953041,0.02059396890939953,False,0,False,0,,False,False,False,False,151,16,"The second leg is also 80 km at 40 km/h.

"
